10 07 2017, 17.89,18.91
11 07 2017, 0.00,12.93
12 07 2017, 0.00,14.08
13 07 2017, 61.85,15.76
14 07 2017, 37.65,15.33
15 07 2017, 98.08,17.58
16 07 2017, 22.75,18.49
17 07 2017, 179.26,19.69
18 07 2017, 0.00,13.14
19 07 2017, 392.14,25.35
20 07 2017, 150.87,16.25
21 07 2017, 188.83,18.55
22 07 2017, 191.11,17.51
23 07 2017, 28.84,13.09
24 07 2017, 8.94,16.41
25 07 2017, 123.34,19.85
26 07 2017, 510.35,21.44
27 07 2017, 0.00,13.29
28 07 2017, 26.59,15.71
29 07 2017, 214.14,15.28
30 07 2017, 0.00,11.23
31 07 2017, 364.23,24.81
01 08 2017, 74.40,25.79
02 08 2017, 430.10,21.43
03 08 2017, 268.32,22.03
04 08 2017, 34.62,13.05
05 08 2017, 32.89,17.88
06 08 2017, 18.94,11.90
07 08 2017, 254.12,16.08
08 08 2017, 25.40,13.14
09 08 2017, 0.00,16.88
10 08 2017, 569.57,22.05
11 08 2017, 107.61,15.52
12 08 2017, 842.85,18.37
13 08 2017, 362.24,23.83
14 08 2017, 420.02,23.81
16 08 2017, 325.87,24.59
17 08 2017, 121.37,22.12
18 08 2017, 428.85,19.92
19 08 2017, 73.35,18.22
20 08 2017, 105.44,17.08
21 08 2017, 63.24,17.30
22 08 2017, 3.23,14.97
23 08 2017, 2.54,16.43
24 08 2017, 0.88,16.13
25 08 2017, 0.00,18.88
26 08 2017, 86.59,20.93
27 08 2017, 106.04,24.22
28 08 2017, 65.50,15.73
29 08 2017, 110.57,16.77
30 08 2017, 548.01,18.47
31 08 2017, 0.00,12.33
02 09 2017, 536.48,19.27
03 09 2017, 84.79,21.93
04 09 2017, 0.00,12.08
05 09 2017, 0.00,10.39
06 09 2017, 1.84,11.40
07 09 2017, 23.13,20.29
08 09 2017, 0.00,10.09
09 09 2017, 0.00,12.56
10 09 2017, 0.00,14.87
11 09 2017, 0.00,9.23
12 09 2017, 0.00,12.86
14 09 2017, 0.00,16.62
15 09 2017, 0.00,13.87
16 09 2017, 0.00,10.59
20 09 2017, 147.92,17.61
21 09 2017, 0.00,12.05
22 09 2017, 0.00,11.05
23 09 2017, 0.00,7.92
24 09 2017, 0.00,1.27
29 09 2017, 0.00,5.49
30 09 2017, 0.00,6.59
01 10 2017, 0.00,8.27
02 10 2017, 0.00,6.56
04 10 2017, 0.00,5.77
05 10 2017, 73.25,12.22
06 10 2017, 0.16,14.54
07 10 2017, 0.00,8.89
08 10 2017, 0.00,7.04
09 10 2017, 0.00,6.63
10 10 2017, 0.00,7.52
11 10 2017, 0.00,6.42
12 10 2017, 0.00,5.57
13 10 2017, 0.00,6.51
14 10 2017, 0.00,8.10
16 10 2017, 0.00,4.56
17 10 2017, 0.00,7.07
18 10 2017, 0.00,10.34
19 10 2017, 0.00,7.40
20 10 2017, 0.00,9.52
23 10 2017, 73.51,16.32
